"Index","WMT.Adjusted"
"2020-01-02",36.4338302612305
"2020-01-03",36.1121826171875
"2020-01-06",36.0386810302734
"2020-01-07",35.7047882080078
"2020-01-08",35.5822563171387
"2020-01-09",35.9498405456543
"2020-01-10",35.6496505737305
"2020-01-13",35.4964942932129
"2020-01-14",35.5883827209473
"2020-01-15",35.3126945495605
"2020-01-16",35.502613067627
"2020-01-17",35.2146835327148
"2020-01-21",35.4076652526855
"2020-01-22",35.5638732910156
"2020-01-23",35.4750442504883
"2020-01-24",35.0339431762695
"2020-01-27",35.490364074707
"2020-01-28",35.7170295715332
"2020-01-29",35.4995574951172
"2020-01-30",35.7109146118164
"2020-01-31",35.0706977844238
"2020-02-03",35.0033187866211
"2020-02-04",35.3096351623535
"2020-02-05",35.7813682556152
"2020-02-06",35.6282081604004
"2020-02-07",35.671085357666
"2020-02-10",35.3035087585449
"2020-02-11",35.3494567871094
"2020-02-12",35.4873085021973
"2020-02-13",35.9743576049805
"2020-02-14",36.1121826171875
"2020-02-18",36.645191192627
"2020-02-19",36.0478668212891
"2020-02-20",36.0509262084961
"2020-02-21",36.3235626220703
"2020-02-24",35.6312713623047
"2020-02-25",35.0400657653809
"2020-02-26",34.853214263916
"2020-02-27",33.8178482055664
"2020-02-28",32.9846649169922
"2020-03-02",35.4964942932129
"2020-03-03",34.586727142334
"2020-03-04",35.7691116333008
"2020-03-05",35.508731842041
"2020-03-06",35.9100303649902
"2020-03-09",35.8885803222656
"2020-03-10",36.6942024230957
"2020-03-11",35.0523223876953
"2020-03-12",31.8727054595947
"2020-03-13",34.9512405395508
"2020-03-16",32.7028427124023
"2020-03-17",36.531852722168
"2020-03-18",37.5488433837891
"2020-03-19",36.751953125
"2020-03-20",35.0658912658691
"2020-03-23",35.1612739562988
"2020-03-24",35.3920288085938
"2020-03-25",33.6598052978516
"2020-03-26",33.7890357971191
"2020-03-27",33.7151908874512
"2020-03-30",35.4412536621094
"2020-03-31",34.9581985473633
"2020-04-01",35.1181907653809
"2020-04-02",36.5058174133301
"2020-04-03",36.7611961364746
"2020-04-06",38.7887763977051
"2020-04-07",37.5334587097168
"2020-04-08",37.4873046875
"2020-04-09",37.4749946594238
"2020-04-13",38.5518684387207
"2020-04-14",39.6902732849121
"2020-04-15",39.6164245605469
"2020-04-16",40.7148284912109
"2020-04-17",40.6502227783203
"2020-04-20",39.9517974853516
"2020-04-21",39.7548751831055
"2020-04-22",40.4871559143066
"2020-04-23",39.5456657409668
"2020-04-24",39.8256454467773
"2020-04-27",39.4748916625977
"2020-04-28",39.3825874328613
"2020-04-29",38.0288124084473
"2020-04-30",37.3980751037598
"2020-05-01",37.8195915222168
"2020-05-04",38.0595855712891
"2020-05-05",38.3764839172363
"2020-05-06",37.9365158081055
"2020-05-07",37.667667388916
"2020-05-08",37.9921340942383
"2020-05-11",38.2177238464355
"2020-05-12",38.2517242431641
"2020-05-13",38.2300872802734
"2020-05-14",38.1404762268066
"2020-05-15",38.9192237854004
"2020-05-18",39.4507675170898
"2020-05-19",38.6132850646973
"2020-05-20",38.7677955627441
"2020-05-21",38.6256484985352
"2020-05-22",38.4216918945312
"2020-05-26",38.2764358520508
"2020-05-27",37.8499870300293
"2020-05-28",38.2239074707031
"2020-05-29",38.3382530212402
"2020-06-01",38.3073463439941
"2020-06-02",38.3011627197266
"2020-06-03",38.1559257507324
"2020-06-04",37.7356491088867
"2020-06-05",37.5656776428223
"2020-06-08",37.4667930603027
"2020-06-09",37.5007781982422
"2020-06-10",37.442066192627
"2020-06-11",37.111400604248
"2020-06-12",36.3851776123047
"2020-06-15",36.4902496337891
"2020-06-16",36.9754257202148
"2020-06-17",36.7838287353516
"2020-06-18",36.4624404907227
"2020-06-19",37.0372352600098
"2020-06-22",37.6027717590332
"2020-06-23",37.4142532348633
"2020-06-24",37.1763000488281
"2020-06-25",36.9939651489258
"2020-06-26",36.5644226074219
"2020-06-29",36.7931022644043
"2020-06-30",37.0156021118164
"2020-07-01",36.9877967834473
"2020-07-02",36.8394546508789
"2020-07-06",36.7405738830566
"2020-07-07",39.2313461303711
"2020-07-08",38.4556846618652
"2020-07-09",39.478572845459
"2020-07-10",40.384033203125
"2020-07-13",40.0255508422852
"2020-07-14",40.795036315918
"2020-07-15",40.7919540405273
"2020-07-16",40.8537483215332
"2020-07-17",40.7116012573242
"2020-07-20",40.6281661987305
"2020-07-21",40.8939323425293
"2020-07-22",40.9959182739258
"2020-07-23",40.6806983947754
"2020-07-24",40.5570755004883
"2020-07-27",40.5478172302246
"2020-07-28",40.7177810668945
"2020-07-29",40.3871154785156
"2020-07-30",40.2109756469727
"2020-07-31",39.9884757995605
"2020-08-03",39.9575691223145
"2020-08-04",40.6806983947754
"2020-08-05",40.115177154541
"2020-08-06",39.9730262756348
"2020-08-07",40.1646194458008
"2020-08-10",40.7548599243164
"2020-08-11",40.2356910705566
"2020-08-12",40.7579650878906
"2020-08-13",40.9131088256836
"2020-08-14",41.1458282470703
"2020-08-17",42.0767364501953
"2020-08-18",41.8005638122559
"2020-08-19",41.0868797302246
"2020-08-20",40.5159225463867
"2020-08-21",40.8448333740234
"2020-08-24",40.7517547607422
"2020-08-25",40.5345306396484
"2020-08-26",40.5562591552734
"2020-08-27",42.3963356018066
"2020-08-28",43.5351409912109
"2020-08-31",43.0852127075195
"2020-09-01",45.7972412109375
"2020-09-02",45.8251609802246
"2020-09-03",44.8508224487305
"2020-09-04",44.3202095031738
"2020-09-08",42.9610977172852
"2020-09-09",43.4079246520996
"2020-09-10",42.4521865844727
